Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431778.492311,7540,1574431778,491662025,,-7.2,0.0,0.0
1574431778.5410883,7541,1574431778,539793968,,-7.2,0.0,0.0
1574431778.605035,7542,1574431778,604159116,,-7.2,0.0,0.0
1574431778.652403,7543,1574431778,651714086,,-7.2,0.0,0.0
1574431778.7004797,7544,1574431778,699913978,,-7.2,0.0,0.0
1574431778.7497435,7545,1574431778,748100996,,-7.2,0.0,0.0
1574431778.797805,7546,1574431778,795756101,,-7.2,0.0,0.0
1574431778.844917,7547,1574431778,844119071,,-7.2,0.0,0.0
1574431778.8924506,7548,1574431778,891882896,,-7.2,0.0,0.0
1574431778.9408078,7549,1574431778,939840078,,-7.2,0.0,0.0
1574431779.0067239,7550,1574431779,3756999,,-7.2,0.0,0.0
1574431779.052866,7551,1574431779,51882028,,-7.2,0.0,0.0
1574431779.100923,7552,1574431779,100014925,,-7.2,0.0,0.0
1574431779.1496387,7553,1574431779,148171901,,-7.2,0.0,0.0
1574431779.197577,7554,1574431779,196252107,,-7.2,0.0,0.0
1574431779.2447827,7555,1574431779,244175910,,-7.2,0.0,0.0
1574431779.292471,7556,1574431779,291863918,,-7.2,0.0,0.0
1574431779.3574002,7557,1574431779,356355905,,-7.2,0.0,0.0
1574431779.4047716,7558,1574431779,404135942,,-7.2,0.0,0.0
1574431779.453579,7559,1574431779,452179908,,-7.2,0.0,0.0
1574431779.5008817,7560,1574431779,500154972,,-7.2,0.0,0.0
1574431779.5488443,7561,1574431779,548228025,,-7.2,0.0,0.0
1574431779.5967205,7562,1574431779,596052885,,-7.2,0.0,0.0
1574431779.6451669,7563,1574431779,644309997,,-7.2,0.0,0.0
1574431779.7101035,7564,1574431779,708257913,,-7.2,0.0,0.0
1574431779.7574265,7565,1574431779,756196975,,-7.2,0.0,0.0
1574431779.804499,7566,1574431779,804125070,,-7.2,0.0,0.0
1574431779.8536553,7567,1574431779,852574110,,-7.2,0.0,0.0
1574431779.9011059,7568,1574431779,900438070,,-7.2,0.0,0.0
1574431779.9512734,7569,1574431779,948342084,,-7.2,0.0,0.0
1574431779.9977036,7570,1574431779,996407032,,-7.2,0.0,0.0
1574431780.046063,7571,1574431780,44517993,,-7.2,0.0,0.0
1574431780.1092227,7572,1574431780,108515024,,-7.2,0.0,0.0
1574431780.158354,7573,1574431780,156332015,,-7.2,0.0,0.0
1574431780.2063372,7574,1574431780,205179929,,-7.2,0.0,0.0
1574431780.2536097,7575,1574431780,252579927,,-7.2,0.0,0.0
1574431780.3017054,7576,1574431780,300584077,,-7.2,0.0,0.0
1574431780.3494444,7577,1574431780,348519086,,-7.2,0.0,0.0
1574431780.3980126,7578,1574431780,396460056,,-7.2,0.0,0.0
1574431780.460946,7579,1574431780,460412979,,-7.2,0.0,0.0
1574431780.5099833,7580,1574431780,508956909,,-7.2,0.0,0.0
1574431780.5583856,7581,1574431780,556586980,,-7.2,0.0,0.0
1574431780.604975,7582,1574431780,604530096,,-7.2,0.0,0.0
1574431780.6535776,7583,1574431780,652705907,,-7.2,0.0,0.0
